,pnu,ldCode,pblntfPclnd,lndpclAr,prposArea1,lndcgrCode,tpgrphHgCode,tpgrphFrmCode,roadSideCode,pclndIndex,pclndChgRt,juso,trafficAmount,distance
120,4111312700100020001,4111312700,1639000,93,22,09,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-1,505562,3.615834579208166
121,4111312700100020002,4111312700,1639000,198,22,09,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-2,1553317,4.524712839845606
122,4111312700100020005,4111312700,1639000,436,22,09,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-5,1481373,4.444532063226835
123,4111312700100020006,4111312700,1639000,1464,22,09,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-6,1481373,4.409957110052511
124,4111312700100020007,4111312700,1639000,145,22,08,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-7,1481373,4.452511246534417
125,4111312700100020021,4111312700,780900,11,43,09,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-21,1481373,4.329244213431043
126,4111312700100020036,4111312700,1639000,1947,22,09,02,07,03,106.47,0.306,경기도 수원시 권선구 평동 2-36,1481373,1.814340345738795
127,4111312700100020041,4111312700,977900,140,14,09,02,02,08,106.47,0.306,경기도 수원시 권선구 평동 2-41,1481373,4.382720804404141
128,4111312700100020042,4111312700,968400,126,14,01,02,04,08,106.47,0.306,경기도 수원시 권선구 평동 2-42,1481373,4.3801008976219
129,4111312700100020043,4111312700,849600,217,14,08,02,04,10,106.47,0.306,경기도 수원시 권선구 평동 2-43,1481373,4.371994692257131
130,4111312800100010010,4111312800,145800,34,43,01,00,00,00,106.47,0.306,경기도 수원시 권선구 고색동 1-10,1481373,3.711211186668467
131,4111312800100030001,4111312800,828400,363,43,08,02,04,04,106.47,0.306,경기도 수원시 권선구 고색동 3-1,1481373,3.67468347382278
132,4111312800100030003,4111312800,145800,530,43,14,00,00,00,106.47,0.306,경기도 수원시 권선구 고색동 3-3,1481373,3.657988492162464
133,4111312800100030004,4111312800,828400,495,43,09,02,04,04,106.47,0.306,경기도 수원시 권선구 고색동 3-4,1481373,3.660667152433822
134,4111312800100040001,4111312800,828400,278,43,08,02,04,04,106.47,0.306,경기도 수원시 권선구 고색동 4-1,1481373,3.649456935119439
135,4111312800100040003,4111312800,145800,135,43,14,00,00,00,106.47,0.306,경기도 수원시 권선구 고색동 4-3,1481373,3.640552996642028
136,4111312800100050000,4111312800,828400,689,43,08,02,04,04,106.47,0.306,경기도 수원시 권선구 고색동 5,1481373,3.589289386163744
137,4111312800100050001,4111312800,1000000,598,43,09,02,04,05,106.47,0.306,경기도 수원시 권선구 고색동 5-1,1481373,3.57881338499553
138,4111312800100050002,4111312800,145800,3,43,14,00,00,00,106.47,0.306,경기도 수원시 권선구 고색동 5-2,1481373,3.568261091455908
